,ID1,response,text
2553,134678528909258752,negative,inquietanti sponsor mario monti http t co r uaqqh
2554,145235099665960962,neutral,italiani pagano tass manovra economica governo monti politica pd pdl
2555,134591331665321984,negative,crisi economica sempr pi grave governo tecnico incarico probabil mario monti editoriali commenti oggi http t co iejjzdlr
2556,188518321908494336,positive,vstaffelli fiorello verament grandissimo dopo movimento forconi sar movimento stuzzicadenti ahahah
2557,391954293428723712,negative,finito seconda stagion posso uccider qualcuno doctorwho
2558,135838283908382720,positive,spero mario monti interessi italia italiani invec bce spa brutti presentimenti doposilvio
2559,193179700347150336,neutral,tt twitter italia cinemainchiesa serviziopubblico grillo trota levon helm damon and elena princ of persia lega
2561,196212856289628160,positive,perch mett nudo incapacit partiti tradizionali guidar italia mikelealvarez perch grillo piac piccoli imprenditori
2562,187226986345807872,positive,pan sonosoloio belin tardi prox gelato pistacchio
2564,193399701251432449,negative,antipolitica stell ridicolo fabio balocco fatto quotidiano http t co facdh cz via fattoquotidiano grillo m s
2565,165124060626419713,neutral,monotonia lettera signora monti mario monti rivista intelligent http t co tntltpi
2566,391819425739194368,neutral,onfray escobar camu lezion appresa nietzsch ponteallegrazi copertina domenica
2567,190530065568772096,positive,zaynmalik ora venit italia devi seguir perch po piango perch voglio conoscer voglio bene scemi
2568,391928604135010304,neutral,carlito tevez continua dedich quartieri terra gol villa altro barrio povero port bueno air
2569,134712715817136128,positive,fatepresto idvstaff appoggiar governo monti tassativo credibilit class politica tutela interessi paes sositalia
2572,165083224509394945,negative,mario monti passato monogamia monotonia
2574,143425881346547713,neutral,giarda mld riduzion spesa mld tass governo monti italia manovra
2575,192147561010827264,neutral,grillo rubano trann lega fatta fuori solito processo mediatico bepp assalto bacino leghista corrieretv
2576,147691638951645185,neutral,fiducia monti dopo mese guida governo mario monti rischia perder voti http t co adrgttc
2577,194864913389322240,neutral,movimento grillo solo par destruen par construen parla ora lineatelenova adrisantacroc
2579,144047076647514112,positive,sar ingenuo nutro molta fiducia governo monti soprattutto italiani convinto ce crisi
2580,136406152727629824,neutral,pochi mesi fino pd tension durata governo monti http t co fqpocdqt
2581,151622593533845504,neutral,legget denunciato mario monti alto tradimento video redazion cadoinpiedi it cadoinpiedi http t co gbxlqpsl
2582,191882454229979138,positive,antipolitica grillo evasion meglio berlusconi perch pagar tass gi co politica mangia ahiahi
2583,196749365136719873,neutral,uso cocaina invecchia cervello http t co ryw hsj
2584,195572926567813120,neutral,bersani dice grillo insultar va bene comincio allora
2585,134664549256269824,positive,italia rischia pesantissima recession solo governo monti pu realizzar riform chiest ue http t co udmd duj
2586,146529722313084929,negative,parlamento fa pezzi manovra governo monti agenzi rate hashtag declassano rimontiamo rimontato
2587,162167532650893312,neutral,liberalizzar pure carcer secondo governo monti pu http t co p rb lx
2588,162143943742586881,negative,giunto primo motivo me lamentela governo monti agendo risolver situazion accettabil
2589,160474577787564032,neutral,mario monti masson unica domanda dura lilli gruber otto mezzo http t co rf aqtgm
2590,134571797596225536,neutral,mario monti nominato senator vita http t co ja p
2591,144088314377535488,negative,lasciat ogni speranza entra divina commedia benigni president mario monti http t co zrv ux
2593,193787148779012097,neutral,grillo alfano profilerebb offerta politica nuova ora avvalgo facolt demonizzarli sapevatelo
2595,134541312987906049,positive,noelezioni appoggi governo monti nuovaleggeelettoral
2596,391867317195653120,negative,domenica pallosa
2597,393450857519673344,positive,cmq perdiamo figura merda clamorosa eh ahahahahahaahahah
2598,135116198697385984,positive,inizi prossima settimana sar pi governo berlusconi governo monti spread scender almeno
2599,191605822965559296,negative,bepp grillo parlamento no accetto proprio no aiuto
2602,146687186388000768,negative,repubblica sobriet manovra economica mario monti mike bongiorno http t co nwcymvo
2603,194725917166288896,neutral,grillo costola sinistra http t co xqlydn civati andreasarubbi gencarotenuto gennaromiglior
2604,134600671621169153,neutral,crisi governo monti senator vita va verso governo tecnico politica societ http t co aejah ko via blogosfer
2606,144507719460724736,neutral,governo monti manovra tutta migliorar italia valori empoles valdelsavia bartoloni http t co jncgwxvv
2607,134757814949249024,positive,governo monti parla buttiglion ministero istruzion riconferma russa difesa siam pazzi italialand
2608,191791618939031552,negative,italia bisogno class politica senza grilli testa grillo populismo demagogia
2609,165452457063890944,positive,seguir curiosa monotonia mario monti diretta http t co oc stukd
2610,393443906165424128,negative,prendo sempr troppi impegni riesco mai gestirmi
2611,392007852682121216,positive,arrivano ora bisogno estremo esser felic mai prima
2612,396763879105388544,neutral,http t co joylfoiqp invec spina ricaricheremo quasi porta usb sapevatelo tech startup
2614,146531729325297664,positive,gentiloni agenda digital italia ottimista nuovo governo monti passera profumo barca invec http t co vcmwyi
2616,391789040305176576,negative,motogp ahia seconda scivolata weekend marquez calmo
2618,396538320890908672,negative,cazzo mal testa sento pulsazioni cuor tempi
2619,391972742700204032,positive,thea by goldfrapp essenza miglior domenica possibil robuovo dejalanuit http t co lxxgcxisv
2620,156344986584096768,negative,mario monti alieno godetevelo ancora poco http t co aku dzb
2622,391842326911672320,positive,piedi divano tifar gro forza simo te vane
2623,144789647078330369,negative,politica http t co mgsqjzgv pdci campagna manovra governo monti http t co d eh n
2624,136860742757515264,positive,governo monti insediato stata tanto agognata discontinuita spread sempr molto molto ampio
2625,192672775272529921,neutral,bepp grillo guarda video http t co ctrrwc q fattoquotidiano beppegrillo
2626,134693625924812800,positive,pdl spaccher davvero definitivament sostegno governo monti dopo dimissioni b seconda bellissima notizia
2627,147633736761090048,neutral,italia libia governo monti sottoscr patto anti immigrazion http t co iqvpxzu
2628,163269733762867200,neutral,cinquefrondi oggi volantinaggio prc governo monti http t co u xen
2629,189383998882058241,neutral,skytg penso
2630,134693824810328066,positive,fatto lega intend sostener governo monti significa giusto sostener quel governo
2631,163283646575411200,negative,governo monti fa nulla crescita italia stremo
2634,194490555663781888,negative,attenzion perch storia insegna dopo depression rinforza estremismo arriva violenza
2635,146740062917369857,neutral,quasi mese insediamento governo monti assegnato delega innovazion tecnologica ministro http t co pj qt t
2636,133890596178903040,positive,italia governo ripartir mario monti http t co r wibt
2637,137102866686033921,neutral,governo monti sparisc ministero pubblica amministrazion http t co jfisdoxw
2638,164735571829325825,positive,giorni fiducia governo monti sale punti percentuali decin telegrammi cordoglio giunti berlusconi
2639,165490456644431872,negative,fatto quotidiano berlusconi ghost writer monti battuta mario monti monotonia posto fisso http t co htufyxzo
2640,196172070911094784,neutral,luxuria grillo omofobo vendola sintomo degrado italia unit http t co jpqhrj
2641,142652792912359424,neutral,manovra arriva imposta equit tassat barch beni lusso president consiglio mario montitassa http t co uqdci j
2642,136777631868784640,negative,banchieri membri trilater governo monti aiuto largo complottisti
2643,149920159128227840,negative,guidomaurino qualcosa cambio doveva aver no andava certo governo monti fa bella figura
2644,192288321366528000,positive,vittoriosilva vestir modo bizzarro giornalisti economici pi preparato intellettualment onesto italia
2646,149056824853794816,neutral,pensioni monti prepara attacco professionisti pensioni mario monti autonomi professionist http t co sigbta
2649,146363962219429888,negative,diciamocelo passando governo monti fatto berlusconi barric
2650,145905780133085184,positive,repubblicait mario monti torna treno roma http t co kucut d accordo stile sobriet monti
2651,151766447734005760,neutral,fase governo monti iniziass ritiro soldati zone guerra http t co aeca jbm
2652,156878760635932673,negative,antipati comanda mario monti antipatico prima ragion riguarda nemmeno personalment http t co mrc k h
2653,393276543130423296,negative,certa gent spot vivent sfiga buongiorno
2654,393376273122467840,negative,giusto aver bisogno eroi commento bomprezzi mort raffael pennacchio http t co xbyxm b
2655,125633929217708032,positive,mario monti corrier fotografia pi illuminant delicata situazion attual http t co ybunzmoj
2656,145110795968196608,neutral,campania news governo monti sud napolitano presto parler fondi europei http t co kyaxkmb
2657,193786172730900480,negative,lucateles grazi statuto grillo reprim dissenso
2658,194479376694386688,neutral,fatto capelli lisci
2659,391877512688439297,positive,ragazzo piac ligabu automaticament diventa potenzial marito sapevatelo
2660,134603762361843713,negative,perch sceglier mario monti quando chuck norri
2661,190082304473956353,positive,vivalasimo andr bene
2662,144432751062421504,neutral,controlla video grand golp global mario monti luca papademo http t co fiwon via youtub
2663,192040098920005632,neutral,storia d amor adriano celentano http t co lisheohu via youtub
2665,396718782644645888,positive,interessant
2666,142143001345531904,neutral,http t co tvxnjicf ide governo monti
2668,134626113023524864,negative,governo monti penalizzerebb pi intesa pd vendola pietro penalizzar pietro baster ritiro berlusconi
2669,186561312061534208,positive,aldito gentilissimo aldito forza juve speriamo comprino attaccant serio perch borriello inguardabil
2671,136879410635739136,positive,uaar ultimissim governo monti soddisfazion vescovi vaticano mondo cattolico rimasto molto soddisfatto http t co vk awtyx
2672,187923641881722880,neutral,porsi distanza quel tanto basta metter bene fuoco osservar cose esattament credevi
2673,143285699897069568,negative,pensioni colpo sar durissimo significato d parola equit professor monti
2674,135453191193112576,negative,pbersani nessun berluscon governo monti nessuna condizipon deve esser ammessa part rovinato italia
2675,147377206673412097,negative,sospetto governo monti comunica molto bene razzola male pu aiutar
2676,392016635126890497,positive,amo asd
2677,136965501422280704,neutral,ministri formazion governo monti twitter http t co r x f via ilnichilista
2678,156358067557122050,neutral,fabio fazio scusi president capito risposta mario monti fa bene aver capito
2679,136176141974249472,negative,matteo renzi piac mario monti viceversa caso volest infangar nome sola frase
2681,391832844580171776,negative,sento freddo trovo elastico voglia uscir piumon prendern altro uscitemi elastico
2682,391982741702836224,positive,amo demi manier riesco nemmeno spiegar
2683,189040730289881089,positive,qualch minuto fa piangevo ora rido grazi onedirect brunomar ddlovato xx
2684,192003166215221249,negative,grillo supera sondaggi allora italia molti pi problemi pensavo
2685,162180283548958720,neutral,professor monti dice potrebbero servir quei miliardi euro evasi monopoli stato qualcosa recuperarli
2686,147022869937926144,positive,vitanonprofit clamoroso mario monti italia appogg tobin tax buona notizia oggi tassalafinanza
2687,144813779673288706,neutral,http t co ga qbm vchi mario monti
2688,144748434577035265,neutral,linea renzi incalzar governo monti foglio it cerazad http t co bvokqqnc via addthi
2690,134703060957151232,negative,fatepresto governo monti mica part venerdi ore nn scaramantici quando troppo troppo
2691,146264270693339136,neutral,sondaggio partito pi peso politico governo monti http t co ezv rtk
2692,134534672381251584,neutral,mario monti road map italiani http t co lztawvhk
2693,146516697933819904,negative,appena arrivati milano fra poco partenza verso strasburgo manifestazion governo monti europa banchieri
2694,395678216675143680,negative,ancora giannino invitato opinion leader presentato modello lagabbia
2696,188747015155486721,positive,alessandracip grazi mill
2697,147227076980776960,negative,estremocentro grand frenata liberalizzazioni governo monti grand delusion lobbi poveracci vinc mai
2699,393399051926142976,positive,posso veder video telefono piu bella so sempr tell me whi http t co ctfftmepuj
2700,193105327900733440,negative,grillo rotto presunzion esser miglior solo vanna marchi posto legnetti vend battutin
2701,144680688183017472,negative,fa festa pension deve lavorar altri anni mini riforma governo monti gioca brutti http t co xqrabfir
2702,160459187359465473,positive,appena visto sentito mario monti gruber pi mai impression finalment buon mani altro berlusconi
2703,193378074254000128,negative,sa fare stasera firenz so link facebook portat pazienza http t co pzhp p
2706,196623229446668288,positive,grazi sr possibil cambiamento immediato robertosaviano
2708,144170923279396864,negative,governo monti aumentato ici pensionati prima casa banch assicurazioni manovr equ fb
2709,148185978450870272,neutral,paga crisi manovra governo monti propost sel http t co zlcxt bs umbria sel politica
2710,137248131875225601,positive,notapolitica fitch governo monti pu esser sorpresa positiva http t co pq k eh luigi vasta choebin
2711,136828898242592768,positive,luigiligotti sicurament persona preparata meno sicuro metta preparazion favor cittadini opensenato governo monti
2712,137181676336971776,neutral,programma governo monti valor giovani meritevoli sacrifici equi http t co s bmtw
2713,193212702754226176,positive,dovev scusar ieri sera andato letto senza salutarvi allora insiem adesso buonanott buongiorno twittini
2714,143747477655400448,neutral,monti fuori euro baratro berlusconi casini premier metta fiducia roma mario monti pre http t co uuqk ykw
2715,391971468504223744,neutral,pi facil guidar person comandarl david harold fink
2716,137492164140740609,positive,monti apprezzato senso responsabilit berlusconi berlusconi camera mario monti roma nov http t co hvu jkhj
2717,194156872520048640,neutral,efestion protegg amor alexand
2718,195801968281784320,neutral,fatemi capir ultima battaglia grillo elezion diretta president rep vuol sistema presidenzial
2719,195607172757979136,positive,grillo sar populista inesperto politica vede cazzo ragion vien voglia votarlo
2720,135649304151998464,neutral,approfondimenti crisi governo dimissioni berlusconi ora tocca mario monti http t co ufvil
2721,145075789505900544,neutral,idv lavoro riunificar abruzzo molis sanniopress mentr governo monti vuol taglia http t co djf zn sanniopress
2722,193621264005468161,neutral,ciao
2723,395671938330537984,positive,melodika bella foto fa molto relax
2724,195551385402613760,positive,piac credermi miglior altri quando illudo aver scelto fare cose realt fatto pigrizia
2726,186888862432378881,negative,boldicapra fatto pi rider insulto film uomini inutili societ
2727,153561323169529856,neutral,pd governo monti gotor campo incontro promosso pd http t co harrzeox
2728,137606493204779008,positive,politica nap oggi viva soddisfazion governo nasc clima positivo http t co pgul governo monti napolitano
2729,144768413171064832,negative,paolabasket gener dice fatta legg stavolta fatto manco finta governo monti vergognoso
2730,192550793629548544,neutral,norimberga italia pannella chiama raccolta grillo http t co gvatca q marcopannella bepp grillo
2731,134749174519439360,positive,serviziopubblico momento possiamo sceglier governo monti poi elezioni nuov regol brignanoiena
2732,161274053829722112,negative,patrizio gonnella no privatizzazion carceri voluta governo monti http t co by jv pu
2733,134748993874960384,negative,nomfup vedi daw blog delirio mistico ministro sacconi governo monti sar vita famiglia
2734,191933272748605440,negative,grillo ennesimo disastro politica ultimi anni bravi davvero difficil fare peggio co
2735,393351819591548928,negative,stamattina sveglio stra ritardo corro matta ufficio pieno lavoro devo stare pomeriggio poi dentista
2736,134606130147106816,negative,pietro detto no mario monti president consiglio detto s mannagggia ebook libro cartaceo
2738,193083706842427392,neutral,tt italia serviziopubblico piazzapulita grillo franca rame princ of persia belsito m s nero wolf falcao
2739,193065929024864257,negative,gnavoni problema grillo soluzion
2741,391946158203240448,neutral,martyashley giornal
2742,396641051902894081,positive,vale recc ahahahahah lol
2743,192978523537948672,positive,va bene tagliar costi politica ecc soluzioni crisi economica lavoro diritti civili salut grillo politica
2744,147286649234132994,negative,protesta disabili vergognosa manovra mario monti roma dicembr http t co pyvrnkbd
2745,144180064416825344,neutral,italiani contrario manovra font ipso maggioranza parlamentar pd pdl governo monti minoranza paes
2746,195613989366018048,neutral,giuliainnocenzi credo sincerament problema grillo fare politico meno cogliet punto sa
2747,393279570017021952,positive,buongiorno pupeeeeeeeeeeeeee
2750,165008845427585024,negative,governo monti contratto progetto cosa vuol posto fisso
2752,194342629364871169,neutral,nuova comunicazion politica movimento grillo organizzato franchis http t co tpystg
2753,144151109773180928,neutral,monti senza manovra rischio stato insolvent premier mario monti vespa prematuro dire porremo http t co vj fwx
2754,188514885590712320,positive,ciao corrado speriamo bene sempr trovi qualch naz http t co urrsofkt
2755,136784791226953728,positive,buon lavoro governo monti montihop portaci sicuro
2756,137183753855434752,neutral,ilpost testo integral discorso mario monti senato http t co mg ctx
2760,145092555917373440,neutral,pesano tasca misur governo monti http t co rsh ezoi
2761,146692335110074368,negative,ballaro governo monti voleva fare berlusconi poteva
2764,135341721822306304,negative,d alema invoca governo monti classico esempio politicant infam attend posticino nuovo governo
2765,154907665171087361,negative,gbocchieri grand problema banch ora bankitalia timon governo monti dormiremo spread tranquilli
2766,146656714874298369,neutral,bit ly texrri finanza blog crisi governo monti tass mario berlusconi roma
2767,396757802364186624,positive,mammahoripersolaereo pu esser vecchio pare rimarr sempr film piu belli
2768,391920997747916800,neutral,nati agosto pt adorano comandar sognar romantici orgogliosi coraggiosi
2769,391827433428910080,neutral,sa piac cosesulragazzochemipiac
2770,137081200144695296,negative,credi governo monti giusto risollevar paes dato risposta secca chiara no
2771,134684361906860032,neutral,fatto playlist crisi berlusconi mario monti senator vita http t co dgtbtn f buona vision
2773,195435413186420737,negative,monti detto ke dobbiamo cambiar stile vita ancora regolatina politici pubblici amministratori no eh siamoallesolit
2774,153122403273277441,neutral,quell efferato sarcasmo mario monti uccid povero alessandro sallusti http t co zsqjb po
2777,193082047399608320,neutral,eliatosi mancio immagino ilmen elia antipasto costata manzo verdur griglia dolc caff amaro
2778,195575918226456578,positive,comincio creder grillo prender tanti voti saltando nervi politicanti piazzapulita
2779,391878265087856640,positive,marcocarta annidinoi grazi te artista
2781,165457605379112961,positive,colpo scena professor monti favor riforma tolga privilegio professori esser rettori
2783,193201242678374401,positive,ff j mcn gentil ironico positivo fa sempr sorrider grazi
2784,157856281896554496,positive,giusto andar avanti liberalizzazioni speriamo governo monti parlamento intimorir taxi
2785,162529115348533249,negative,pdl ammazza invec berlusconi governo monti serv date retta racconta crisi impossibili
2786,396725236886167552,positive,annalisawontheinternationalsongcontest meritatissimo artista special umil cammino fatto musica modo unico
2788,396417137285537792,negative,odio ascolta insomma cazzo fare me poi interessa dire
2789,143502977162940418,neutral,co rai oscura mario monti http t co cdu ot
2793,393464286800273408,positive,mika amo
2794,155025740688138240,negative,umor mario monti vaffanculo parliamo disoccupazion vergogna piazzapulita
2795,142352006462455808,neutral,bastacasta governo monti present manovra macelleria social spero colpisca ricchi altrimenti scendo piazza
2796,395472152607985664,positive,vorrei tanto auguri amorosoof verdianazangaro babykmus basta retweet ahahah pleasee
2797,154132118061068288,positive,ripart mezzogiorno ripart paes invito crederci rivolto governo monti fermo promess http t co exc beef
2798,138754436389552129,negative,prima vittima governo monti autieri frassica liorni vianello portaaporta
2799,143234030496788480,neutral,professor monti facil crescita ugual giovani donn lavoro equit ugual tassagrandiricchezz lotta evasion
2800,393270563093090304,negative,brissogn multa cani sporcano strada solo cani quando passano mucch peggio nessuno pulisc vda
2801,395530521041969152,neutral,chiss
2802,393296548601561088,positive,splendida foto fabrizio pluri cliccata siti internazionali photo natura http t co gwozqbxau
2803,391929958982877184,positive,giuliettahmatt seguo
2804,149506234565918720,negative,fatto quotidiano bersani toccar articolo roba matti governo monti deve capir segreta http t co lfa kcj
2805,137124993233465344,negative,padella brace governo monti lontanissimo popolo banchieri donna piu ricca d italia
2806,162848923009028096,neutral,vorrei governo monti proprio co
2809,142907672172302336,negative,meta pd governo monti chied salti mortali italiani metta asta frequenz digitali invec regalarl mediaset
2811,155632044683173888,neutral,dicembr premier mario monti ricev honorem prestigiosa tessera giornalista http t co jgt zue
2813,393321237285711872,positive,cerp sheck rzanrossi favoriscono seguir meglio lezioni univr
2815,193101768530477056,neutral,grillo dice giovani dimentica italia paes vecchi
2817,134745914614087681,neutral,piazzapulita pietro casini detto governo monti deve durar tutta legislatura me deve solo cambiar legg elettoral
2818,195106799630823424,neutral,alessandra sanr ilariamel co cuori twitter alt tastiera numeri affianco
2820,143387680087089154,positive,dopo aver letto sunto manovra finanziaria proposta governo monti comincio pensar elezioni anticipt pi giust
2823,195181695085977600,negative,politici attaccano acquista popolarit ancora nessuno dargli bugiardo grillo tiritwittoio bepp grillo
2824,136788522920185856,negative,ecco ministri governo monti scandalos nomin last minut ex gelmini galan http t co kgkhd
2826,391871847434047488,neutral,quando massa siena litigavano vetulonia colonna etrusca http t co tyrqj j
2830,146855792430166017,neutral,perso ier sera mario monti manovra post http t co adusfqbp via ilpost
2831,136479180450824192,neutral,ogni buon president consiglio ecco prime domand mario monti mamma via lonestaritali sapevatelo
2832,134728393617981440,neutral,parol bossi segnal piu chiaro indiretto quasi certezza governo monti andremo prossim
2833,134565451803009026,positive,qualch riga mario monti pi fatepresto bene ricordar metter insiem pezzi bit ly sdiehh fullmonti
2834,137200182830968832,negative,report tutt manifestazioni studentesch d italia studenti piazza fidiamo governo monti http t co zp xfhht
2835,160716014017974272,neutral,uscito amor tempo mario monti migliori edicol
2836,156105745463640065,negative,monti chetempochefa atteggiamento mental governo monti nessun tab aiiuutooo
2837,189805234095267840,negative,finita sagra cazzar part va pensiero cordialment mando cagar legaladrona bergamo lega ladri
2838,196224643391168513,neutral,dopo linea convenienza gigant propon banan linea rocco siffredi x circonferenza http t co ioxejvet
2839,145898435080503298,negative,scuola ladri http t co aeb rree misfatto disegni governo monti
2840,137800876864712704,negative,tilt governo monti terrorizza paolo dimalio fatto quotidiano http t co tmujkoon via fattoquotidiano
2841,165433209977454592,negative,mario monti mila euro mese senator vita carico cittadini monotonia posto fisso http t co etpcfssv
2842,136145004862251008,neutral,governo monti annuncia grandi sacrifici vuol politici ministri punta messaggero http t co k j palw
2843,142632521677541376,neutral,http t co ioq t qsporta porta ospit mario monti
2845,163195755568431104,negative,dc commenta critica liberalizzazioni governo monti http t co maewa ck
2846,164979275672453120,negative,mario monti monotonia postofisso web insorg web pensavo incazzassero giovani lavoro
2847,396617430354522112,neutral,bbottl fatto tutt giovanili pi anni prima squadra ogni tanto alleno ancora adesso squadra
2848,193089106098667522,neutral,tt twitter italia serviziopubblico grillo piazzapulita trota princ of persia franca rame riccardo bossi lega
2849,134556844122324992,neutral,sondaggio governo monti elezioni anticip votat http t co to qbatf elezioni fullmonti paes crisi coll
2850,194899897877663746,neutral,mart dire grazi thank you fatto
2851,188048238421610496,neutral,frosti t doy aedubon hahahahaha
2852,187843863782760449,positive,lucianopagano x hnk g world grazi sappiat tutta seconda seri anni granata press
2853,134578734555611137,negative,no possibil governo mario monti lega nord italia valori dimostrando tutta cultura politica
2854,134338555727187969,negative,mario monti famoso modello klein monti appena letto wikipedia qualcuno vuol glielo spieghi
2855,195561758419714048,positive,grillo permetta offender napolitano dire offend italiani decenni mala politica deve sparir
2856,136221310161403904,neutral,mario monti travest donna pu esser benissimo scambiato mata hari complottismo
2857,134340487980134400,neutral,mario monti entra palazzo madama senator vita prossima tappa palazzo chigi laresadeiconti
2860,135455872020258816,positive,brindo dimissioni berluscosconi governo monti illusioni
2862,137155403057336320,negative,programma governo monti trentatr trentini andarono trento trentatr trotterellando
2863,156126952007282688,positive,tempestivi intervista mario monti tempo fa video http t co ttcvvtrb
2864,134638162856255488,positive,crisi rehn monti amico ex collega molto competent bruxel nov adnkrono mario monti http t co f abcn
2865,191555236010278913,negative,grillo dice pest corna capisc cosa vuol fare deve dire xche candida fare cosa
2867,137085511713042433,neutral,senato voter sera fiducia governo mario monti prima illustr programma http t co gvfpkc g
2869,143439822386765825,neutral,governo mario monti italiani dimostriamo europa esser capaci risolver problemi http t co n bxkhu
2871,134517629393178624,neutral,controlla video grand golp global mario monti luca papademo http t co qjmnequh via youtub
2873,391832840171954177,positive,buongiorno
2874,393464288943570944,positive,dteam it saltata gioia appena visti quel momento solo sentir voci fatto stare bene davvero
2879,192972283151781888,negative,grillo soluzion crisi uscir europa pagar debito pubblico solo comico poteva esser proposta caxxata
2880,134558802090536960,neutral,pietro governo monti camer letto intervenendo telefonicament canal mattina anton http t co ex zpdfp
2881,194410056333262850,positive,morganafata ohhh volta racconterai bene riguardo tengo troppo
2882,136104360135491585,neutral,http t co hy zjnzv sicuri pd convenga governo monti termini elettorali sostien pietroraffa oramonti
2883,188551142777696256,neutral,stoceppo lavatric
2884,393367136263217152,positive,ilariasolazzo grazi ilaria bacio te
2885,134651573807742976,positive,dice s governo monti http t co szmwvhb legger nomi fa impression eh mandiamo gi rospo governo monti
2888,139715038477959168,neutral,governo monti primi nomi staff ministri diritto critica http t co d qmwss via ddcnew news politica
2889,193000233423224832,negative,grillo ce molto casta intanto s fatto partito aver posto tavola
2890,141285347203088384,positive,lista ottima sorpresa staffan de mistura esteri stopcensura governo monti ecco nuovi sottosegretari http t co ifdjtxog
2891,189677525717360640,positive,naripolpetta scrivendo sola praticament so quando finir finir
2892,135808259633328128,negative,commentar nuovo governo monti casini rassicurant
2893,395605115303759872,negative,scoppia incendio fabbrica alfero ustionati due dipendenti grave incident lavoro mercol pom http t co nbejfiqum
2894,134964701502242816,neutral,sbartezzaghi rimontiamo ammiro toni mario monti speriamo seguano fatti no moti romani
2895,196626842894082048,negative,futuro tv freccero meglio carloconti tanto livello stesso http t co uqqyr mt
2898,143392810559733763,negative,pi facil aumentar tass combatter evasion fiscal governo monti
2901,135653199662157824,positive,visto splendida giornata cit mario monti primo giorno post berlusconismo fors
2903,136219205568708609,neutral,mario monti servizio perfida imperatric ordinato uccision gemelli destino complottismo
2904,192676846456938496,neutral,fattoquotidiano bepp grillo guarda video http t co ojexxnox fattoquotidiano beppegrillo http t co qvvcj fl
2906,395637619079397377,neutral,chiarabitch maha maha credo appartenga periodo lizzi grant queen of disast credo sar album detto stessa
2908,158306233122693121,negative,governo monti pensa dirla cosa proposito naufragi concordia giglio titan broker trattar polizza
2909,150161704481861633,neutral,dopo no manovra ecco porremo futuro confronti governo monti http t co w jj
2910,165036838787096576,negative,vergogna professor monti fare spiritoso funeral postofisso monotonia
2912,396757680851005440,negative,show oxa andato onda giurati osanneranno falang etni prosopopea comizio sermon ballando rai
2913,160730958901936129,negative,mario monti pil promessa insostenibil http t co mye kooz
2914,193078430869372929,negative,cavoli grillo pu fare oggi anni tot conquistato mondo critici
2915,192708109175762945,neutral,confindustria digital rete cambia italia piano http t co miaapnt
2916,193070587919343616,neutral,classifica fimi vasco ancora vetta goty sempr primo singoli http t co skmuc serviziopubblico grillo sapevatelo
2917,145161817818271745,neutral,napoli punto partenza azion governo president monti mario monti defin napoli http t co po nc
2918,161080759426363393,negative,professor monti visto senza piet levaci pure anzianit migliorar situazion togli mezzo liquidazion
2919,190058594228633600,negative,grillo colpito oppon dopo lega punteranno idv paracula preventivament codadipaglia
2920,161771829231497216,neutral,scori nucleari governo monti liberalizza mappa http t co jo lw
2921,137537779876892674,neutral,nuovo governo monti ottien fiducia camera voti favor contrari
2923,139357464461180933,positive,ottimo mario monti rend interessant dibattito politico raggiant
2924,145036485765242881,neutral,nuovo modello ise governo monti modifich novit sintesi http t co ku ixyrw
2925,192760381385609217,neutral,altea s ciaoo altea vaa bene bacio
2926,194206349687664642,positive,fedemello tolto serv pubblico sa grillo ragion giornalismo tv lerner bravo figurati resto
2929,147651852257861632,neutral,approvata fiducia emendamento manovra economica governo monti voti favor contrari astenuti
2931,136875718553518081,negative,governo monti primi dubbi nichi vendola http t co cjqhqaea
2932,195438986376908800,positive,marcovivanti themenissu sannirestuccia vidaaustera neovecchiostil trovatemiunascusa buongiorno volo prenotato d
2934,393252063054135296,negative,me posso morir
2935,158011446599487488,neutral,colpo stato mario monti paolo becchi http t co lj mwgzu
2936,134451573429518338,neutral,salentonotizi mario monti nominato senator vita http t co ehph feo
2938,195732493624819712,positive,triunfaryosoy grazi wendi
2939,137852388978606080,negative,brunetta accusa conflitto interessi governo monti conflitti interess dimostreremo brunetta
2941,395547977219321856,neutral,bonaccorsiart d wobi it rosagiuffr gabriellacrafa kiyos damiano sestyl bruniverso avoicomunicar umidit
2942,156335612046217216,positive,president mario monti sempr pi apprezzato co ce dobbiamo far scappar occorr appoggiarlo pi decision
2943,396530215339716608,neutral,genitori vs figli pt quando mamma foto
2944,136910931203604480,positive,governo monti dobbiamo esser contenti http t co pvhm
2945,134554886888103936,positive,oggi voterei mario monti ormai accontento solo competent rispettabil serio ide politich passo
2946,145461156499300352,neutral,tal luca suggerimenti governo monti risparmiar qual http t co wssrf bt
2947,149428769063575552,negative,giovan italia roma manifesta governo monti sacrifici banch finanza benefici
2948,164785286935617538,neutral,mario monti ora tg
2949,160438215327760384,neutral,mario monti gruber
2950,146583820114731011,neutral,massimodonadi governo monti politica destra manovra rairadio
2951,153099251717640193,neutral,fatto quotidiano berlusconi invecchiato colpo tenero silvio dice mario monti copiato ot http t co v ggbrk
2953,160103130275655680,positive,grand fatica scorger crescita programmi governo monti ancor pi aggettivo sostenibil bravo nichi piazzapulita
2954,151587861546795008,negative,mai quando governo monti bomb vanno tutt dritt equitalia
2955,138566091160027136,neutral,piov governo ladro gela governo monti rb
2957,154649617676517376,positive,toobytweet megaepicwin mario monti vs calderoli http t co vniqhbon too hahahahahha grandissimo monti
